18 20 32  0.81 0.32 0.81 0.34
18 20 30  0.81 0.32 0.81 0.34
18 20 28  0.84 0.32 0.82 0.35
18 20 27  0.84 0.32 0.81 0.34
18 20 26  0.82 0.32 0.81 0.35
18 20 25  0.84 0.32 0.83 0.35
18 20 24  0.86 0.32 0.84 0.35
18 20 23  0.98 0.33 0.89 0.35
18 20 22  1.25 0.36 1.03 0.36
18 20 21  1.65 0.44 1.41 0.42
18 20 20  2.76 0.68 1.97 0.56
